Date,Original,Alpha,Delta,Omicron
25/03/2022,5089831,6025317,1837438,13
26/03/2022,5089832,6027268,1886938,15
27/03/2022,5089832,6029319,1942504,17
28/03/2022,5089832,6031983,2018269,20
29/03/2022,5089832,6034150,2083096,23
30/03/2022,5089832,6036065,2143514,26
31/03/2022,5089832,6037391,2187740,29
01/04/2022,5089832,6038492,2226706,32
02/04/2022,5089832,6039303,2257270,34
03/04/2022,5089832,6040159,2291752,37
04/04/2022,5089832,6041187,2335541,42
05/04/2022,5089832,6042054,2374721,47
06/04/2022,5089832,6042799,2410551,53
07/04/2022,5089832,6043400,2441419,59
08/04/2022,5089832,6043883,2468092,65
09/04/2022,5089832,6044260,2490533,71
10/04/2022,5089832,6044647,2515559,78
11/04/2022,5089832,6045081,2545441,89
12/04/2022,5089832,6045444,2572187,101
13/04/2022,5089832,6045759,2597109,114
14/04/2022,5089832,6046004,2618070,126
15/04/2022,5089832,6046186,2634993,137
16/04/2022,5089832,6046341,2650733,148
17/04/2022,5089832,6046483,2666651,161
18/04/2022,5089832,6046659,2686723,185
19/04/2022,5089832,6046833,2706825,218
20/04/2022,5089832,6046974,2723366,252
21/04/2022,5089832,6047092,2737508,287
22/04/2022,5089832,6047192,2749695,322
23/04/2022,5089832,6047275,2759975,356
24/04/2022,5089832,6047367,2771510,399
25/04/2022,5089832,6047464,2784530,459
26/04/2022,5089833,6047541,2795487,519
27/04/2022,5089834,6047605,2805289,581
28/04/2022,5089835,6047658,2814051,644
29/04/2022,5089836,6047701,2821777,707
30/04/2022,5089837,6047735,2828422,767
01/05/2022,5089839,6047769,2835880,840
02/05/2022,5089841,6047817,2845805,957
03/05/2022,5089843,6047871,2856446,1103
04/05/2022,5089844,6047920,2865735,1249
05/05/2022,5089845,6047965,2873835,1392
06/05/2022,5089845,6048006,2880874,1530
07/05/2022,5089845,6048042,2886809,1659
08/05/2022,5089845,6048087,2893912,1828
09/05/2022,5089845,6048138,2902068,2062
10/05/2022,5089845,6048185,2909490,2312
11/05/2022,5089845,6048227,2916054,2567
12/05/2022,5089845,6048263,2921768,2818
13/05/2022,5089845,6048296,2926894,3070
14/05/2022,5089845,6048325,2931427,3317
15/05/2022,5089845,6048363,2937306,3670
16/05/2022,5089845,6048404,2944104,4161
17/05/2022,5089845,6048437,2949909,4653
18/05/2022,5089845,6048466,2955267,5177
19/05/2022,5089845,6048490,2960035,5707
20/05/2022,5089845,6048509,2964130,6218
21/05/2022,5089845,6048523,2967521,6689
22/05/2022,5089845,6048538,2971582,7313
23/05/2022,5089845,6048556,2976345,8178
24/05/2022,5089845,6048572,2980472,9052
25/05/2022,5089845,6048587,2984166,9953
26/05/2022,5089845,6048601,2987471,10873
27/05/2022,5089845,6048613,2990431,11807
28/05/2022,5089845,6048624,2993070,12746
29/05/2022,5089845,6048637,2995930,13887
30/05/2022,5089845,6048651,2999411,15430
31/05/2022,5089845,6048663,3002647,17020
01/06/2022,5089845,6048673,3005734,18697
02/06/2022,5089845,6048680,3008360,20271
03/06/2022,5089845,6048686,3011117,22095
04/06/2022,5089845,6048691,3014074,24252
05/06/2022,5089845,6048694,3017817,27262
06/06/2022,5089845,6048697,3022107,30815
07/06/2022,5089845,6048700,3026151,34265
08/06/2022,5089845,6048702,3030303,37917
09/06/2022,5089845,6048704,3034183,41437
10/06/2022,5089845,6048705,3037802,44826
11/06/2022,5089845,6048705,3041053,47971
12/06/2022,5089845,6048705,3045059,51977
